Provincia,Municipio,Población,Longitud ETRS89,Latitud ETRS89,Altitud
Alacant/Alicante,Orihuela,76097,-0.94664572,38.08574117,25
Alacant/Alicante,Parcent,965,-0.06446788,38.74571695,290
Alacant/Alicante,Pedreguer,7435,0.03432468,38.7935383,85
Alacant/Alicante,Pego,9923,-0.11803172,38.84201714,82
Alacant/Alicante,Penàguila,308,-0.35881625,38.67944195,682
Alacant/Alicante,Petrer,34533,-0.76953712,38.48480043,465
Alacant/Alicante,el Pinós/Pinoso,7718,-1.04195399,38.40441177,591
Alacant/Alicante,Planes,733,-0.34478535,38.78583429,451
Alacant/Alicante,Polop,4725,-0.12654723,38.62255314,239
Alacant/Alicante,Rafal,4322,-0.84889051,38.10480713,13
Alacant/Alicante,el Ràfol d'Almúnia,631,-0.05280018,38.82066727,87
Alacant/Alicante,Redován,7811,-0.90524865,38.1140353,28
Alacant/Alicante,Relleu,1118,-0.31086389,38.58727823,435
Alacant/Alicante,Rojales,16231,-0.7231866,38.08892037,8
Alacant/Alicante,la Romana,2377,-0.8960138,38.36742371,419
Alacant/Alicante,Sagra,393,-0.06512199,38.81142807,103
Alacant/Alicante,Salinas,1562,-0.91278122,38.52006995,493
Alacant/Alicante,Sanet y Negrals,634,-0.03373355,38.81916633,83
Alacant/Alicante,San Fulgencio,7646,-0.71879025,38.11222765,4
Alacant/Alicante,Sant Joan d'Alacant,23149,-0.43660694,38.40151192,40
Alacant/Alicante,San Miguel de Salinas,5797,-0.78930554,37.97713811,87
Alacant/Alicante,Santa Pola,31137,-0.55528061,38.1931155,4
Alacant/Alicante,San Vicente del Raspeig/Sant Vicent del Raspeig,57175,-0.52499072,38.39613348,107
Alacant/Alicante,Sax,9737,-0.81692328,38.53849557,473
Alacant/Alicante,Sella,579,-0.27218087,38.60812245,412
Alacant/Alicante,Senija,578,0.04175328,38.72826598,231
Alacant/Alicante,Tàrbena,640,-0.1019394,38.69363337,559
Alacant/Alicante,Teulada,10097,0.10231946,38.72911733,183
Alacant/Alicante,Tibi,1603,-0.57799241,38.53125236,517
Alacant/Alicante,Tollos,50,-0.27417974,38.75700785,776
Alacant/Alicante,Tormos,333,-0.0723226,38.80205024,129
Alacant/Alicante,Torremanzanas/la Torre de les Maçanes,682,-0.41885176,38.60676744,791
Alacant/Alicante,Torrevieja,83252,-0.68302608,37.97775873,7
Alacant/Alicante,la Vall d'Alcalà,168,-0.25201489,38.79456237,639
Alacant/Alicante,la Vall d'Ebo,232,-0.15985139,38.80574426,392
Alacant/Alicante,Vall de Gallinera,594,-0.22174105,38.82200923,293
Alacant/Alicante,la Vall de Laguar,825,-0.10944662,38.77743427,439
Alacant/Alicante,el Verger,4421,0.01012098,38.84290338,21
Alacant/Alicante,Villajoyosa/la Vila Joiosa,33607,-0.2319288,38.50545611,16
Alacant/Alicante,Villena,33968,-0.86138343,38.62963811,503
Alacant/Alicante,els Poblets,2926,0.01680187,38.85116436,13
Alacant/Alicante,Pilar de la Horadada,21202,-0.79242783,37.86372554,32
Alacant/Alicante,Los Montesinos,4862,-0.74364774,38.02749921,19
Alacant/Alicante,San Isidro,1920,-0.83836588,38.17123285,10
Almería,Abla,1267,-2.77953953,37.1412099,853
Almería,Abrucena,1170,-2.7974669,37.13218285,986
Almería,Adra,24697,-3.02330257,36.74868325,14
Almería,Albanchez,754,-2.18135854,37.28686167,487
Almería,Alboloduy,610,-2.62168571,37.03339629,381
Almería,Albox,11481,-2.14799133,37.38850758,420
Almería,Alcolea,811,-2.96066637,36.97361957,746
Almería,Alcóntar,577,-2.59756879,37.33611796,955
Almería,Alcudia de Monteagud,148,-2.26678969,37.23587193,1025
Almería,Alhabia,678,-2.58702093,36.98991242,290
Almería,Alhama de Almería,3653,-2.56977648,36.95718281,520
